title;author;year;opac;filename;manifest;transkribus;DocId
Anatomia per uso dei pittori e scultori;Medico, Giuseppe del;1811;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV001535558;bb2204110;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb2204110/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/825300;825300
Descrittione di tutta Italia;Alberti, Leandro;1550;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038964466;bb7801500;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801500/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/867194;867194
Descrittione di tutta Italia, nella quale si contiene il sito di essa, l'origine, ... et più gli huomini famosi, che l'hanno illustrata ...;Alberti, Leandro;1551;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV010531056;bb7801500a;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801500a/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
Isole appartenenti alla Italia;Alberti, Leandro;1588;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038829918;bb7801500f2;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801500f2/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
Angeli Mariae Torsani Orationes, quae de Umbriae Romandiolaeq?;Torsani, Angelo M.;1562;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV037828766;bb7801610a;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801610a/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
Ritratto delle più nobili et famose città d'Italia;Sansovino, Francesco;1575;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038963812;bb7801750;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801750/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/867195;867195
Monumentorum Italiae, quae hoc nostro saeculo & à Christianis posita sunt, libri quatuor;Schrader, Lorenz;1592;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038963044;bb7801920;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7801920/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/867196;867196
Deliciae Italiae et index viatorius ab urbe Roma ad omnes in Italia, aliquas etiam extra Italiam civitates & oppida;Ens, Gaspar;1609;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV037722014;bb7802090;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7802090/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
Theatro Delle Città D'Italia;Bertelli, Francesco;1629;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038913639;bb7802160a;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7802160a/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
Aggiunta;Bertelli, Francesco;1629;https://aleph.mpg.de/F/?func=find-b&local_base=kub01&find_code=idn&request=BV038913640;bb7802160a;https://dlib.biblhertz.it/m3s/?show=https://dlib.biblhertz.it/iiif/bb7802160a/manifest2.json;https://transkribus.humanitiesconnect.pub/#/documents/;
